Código,Regla,MCC,Tipo de Regla,Descripción,Probabilidad,Consecuencia,Calificación,Nivel de riesgo
1000351,MCC 5734 Accesorios de computaciÃ³n,5734,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000352,MCC 5641 Boutique de bebÃ© y niÃ±o,5641,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000353,MCC 5973 Venta de artículos religiosos,5973,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000354,MCC 7393 Seguridad,7393,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000355,MCC 5094 Metales Preciosos,5094,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000356,"MCC 5137 Uniformes, para damas y caballeros",5137,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000357,MCC 6513 Inmobiliarias,6513,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000358,MCC 5949 Máquinas de coser (costuras),5949,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000361,MCC 7395 Laboratorios fotografÃcos,7395,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Menor,2,
1000362,MCC 5697 Sastreria,5697,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000363,MCC 8062 Hospitales,8062,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000365,MCC 5941 Artículos de tiro y caza,5941,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000366,MCC 8931 Servicios contables,8931,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000367,MCC 7999 Servicios recreativos,7999,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000368,MCC 7342 Servicios de exterminaciÃ³n de plaga,7342,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000369,MCC 5331 Centros deportivos,5331,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000370,MCC 6010 Emisores,6010,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Alto,Maximo,64,
1000371,MCC 8111 Servicios legales,8111,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000372,MCC 5062 Equipo eléctrico,5062,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000373,MCC 5946 Suministros de oficina,5946,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000374,MCC 5198 pinturas varnices,5198,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000375,MCC 5940 venta de bicicletas y servicio,5940,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000376,MCC 7011 Hoteles,7011,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000377,MCC 4215 Courrier,4215,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000379,MCC 5200 Artículos para el hogar,5200,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000380,MCC 5932 Antigüedades,5932,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000381,MCC 7261 Servicios funerarios,7261,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000382,MCC 5733 Instrumentos musicales,5733,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000383,MCC 7631 Relojería,7631,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000384,MCC 8071 Clinica dental / odontologos,8071,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000385,MCC 8021 odontologos / dentistas,8021,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000386,MCC 4814 telefonÃa en general,4814,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000387,MCC 1750 Carpintería / carpinteros,1750,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000388,MCC 4812 Equipo de telecomunicaciÃ³n,4812,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000391,MCC 7372 Servicios tecnicos de computaciÃ³n,7372,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000392,MCC 7221 Estudio fotografico,7221,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000393,MCC 5943 Imprenta,5943,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000394,MCC 5051 Herreria,5051,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000395,MCC 5948 Artículos de cuero,5948,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000396,MCC 8911 Servicios de arquitectura,8911,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000397,MCC 5712 Mueblerias,5712,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000398,MCC 5970 Tienda de antigüedades,5970,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000399,MCC 5039 Materiales de construcciÃ³n,5039,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000401,MCC 7349 Limpieza y mantenimiento,7349,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000402,MCC 1520 DecoraciÃ³n de interiores,1520,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000403,MCC 5965 Venta por telÃ©fono o correo,5965,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Moderado,4,
1000404,MCC 7379 ReparaciÃ³n y mantenimiento,7379,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Bajo,Mayor,8,
1000405,MCC 5722 Mejoras a construcciones,5722,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
1000406,MCC 8999 Servicios profesionales,8999,Nivel de riesgo por MCC,Parametrización basada en el nivel de riesgo según la actividad económica.,Medio,Moderado,8,
